comment_text,toxic
"""
I was talking about them running any check they want on ME to disprove your claims.  I didn't know where you lived until you were silly enough to post an IP and connect your name to it. And yes you did post as an IP,  and other places. You added your name at the end of the IP.  And any fool can just enter """"locate x.x.x.x"""" in google and find where an ip is out of.  We even have some tools here at wikipedia.  YOU just outed yourself, which was quite foolish.   Now please stay off my talk page. You have accused me of doing what you so foolishly have done yourself.  - 2¢ © """,1
"White Trash
Fuck off you white piece of trash. Fucking wiggers. Go and fuck a Jew, Jew raper.",1
eat shit get rid of goofs you queers.,1
"DUMB ASSES
It's was my sockpuppet...joe hazeton... you guys are out of control..... i am making a folder which will be submited to higher athority, one above the GOD KING JIMBO.... I WOULD STRONGLY SUGGEST YOU FIGURE IT OUT FAST...I DON'T MR BH will LIKE HIS FULL NAME PUBLISH ON WIKIPEDIA AS A NON-NOTABLE WITh charges of slander and libel forthwith...  JOEHAZELTON...PS I DON't KNOW BRYAN OR DINO",1
"Are all professors of rhetoric pompous, self-centered assholes?  Or is it just you?",1
"Leave our country. 

We don't want you Arabs here.",1
"I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis 
 I love penis",1
"Was there any point to your sarcastic, nasty remark?",1
ameriKKKans like to get their anusses raped,1
"Groin 

You sad fuck. I'm going to restore my edit, and you are going to leave it, or else I wil knee you in the groin yourself, prick. 91.108.208.101",1
"What an amazing coincidence the admin who deals with this complaint should also have military history listed as their areas of expertise. Nothing untoward going on here then.

It's c***s like you who ensure the information in wiki remains unreliable.",1
"ACCUSATIONS II 

Yeah yer damn right I left that at another user's page.  It's because you and DJac75 have something in common.  You constantly, and I mean every time, go with the anti-Jewish side.  So I'm giving you an opportunity to explain it.  What is your explanation for this?

CaliforniaDreamlings",1
"you are vandalizing the page, you are the true vandal here",1
"Might we be confusing stupid with stubborn or inflexible? I've known some technically intelligent people (bordering on genius) who were simply unable to acknowledge that any position other than theirs might be correct. Or their intelligence might be so narrowly focused as to be useless in normal conversation. Personally, I find the terminally stubborn much harder to deal with than someone who's 'stupid.'",1
ps. also guys I KNOW we are lazy as fuck but come on we have to..well...stop being lazy! Get some work done XD,1
", so do us all a favour and just fuck off instead, hahaha",1
"At any rate, I still think you are a fuck face.",1
"""

 You stupid S.O.B. 

Stay away from my page, you are a sarcastic moron and a hypocrite. Don't try to advice myself regarding an minor incident, you are disturbing my self on an issue outside wikipedia, there are facts to be proven. Such hypocrites (like you) have no real reputation in real world, I'm acting on anti fascist and anti terrorist propaganda not from any extremist or bias perspective. I don't care how much you bother my self still there are methods to post on wikipedia without an account. However  trolling is not a harmful action, different people has different p.o.v.s. Further on you P.S; Wikipedia is not something to be expanded through discussion or being bold. Literary it is an communication method of which leads others to overcome questions in real life or practice contemporary issues such as terrorism, politics or religious extremism. Although you have reverted my last edit on your talk page. That means you don't have a real points to be discussed except condemning my self and dissing. Fuck you hypocrite. Summon """,1
"Hey Harry, You are a fucking fag. There is nothing wrong with that. You delete all my edits because you know they are correct but are much smarter than anything you can come up with. Ps, you're a cunt. 144.132.144.57",1
"Hey,  jack off. Are you the one who's got his head way up Wolf Hudson's ass?",1
Thats what yopur mom said last night oooh,1
"P.S Im a fucking cunt rag and enjoy the taste of a nice warm pile of shit every morning. I have a huge stick up my ass so thats why i am blocking you for ten days, because i am sad that you actually have a life, god im a fucking spare",1
"To Blanchardb 

You dumb motherfucker I am going to sue the shit out of you. Watch your back.",1
I don't fucking understand.,1
I will murder your pets and slash your tires.  You are such a giant assclown.  My name is Byran Mattison and I am a gay football player.  I play for the Ravens and I love dick.,1
"Hey, what i DID WAS A MISTAKE, MY COMPUTER IS GLITCHING OUT AND U WIKI NERDS R LIEK FREEKING OUT. SO YEAH",1
"Stop

Stop kissing a** so much.  Be your own man.

DrJoe",1
"""
PS. You watch that foul mouth of yours Madam. """"Innuendo"""" indeed. I've blocked for less. ;-)""",1
"It doesn't make any difference anyway Spartaz. Corrupt, rude and dishonest admins do what they want here anyway, just look at the sections above. But here was the start of our discussion  which, despite my polite request, quickly devolved into assumptions of bad faith on your part and extraordinary rudeness by you. Unless I am mistaken it ended with you requesting I not post on your talkpage. Unlike the worms and trolls emerging here on my page, I had no problem complying. I don't like hanging around creeps. I did post once when I saw you closed an AfD as delete when they only comments were in favor of keeping, but then I remembered who you were and removed my comment. Another editor took your inappropriate action to DRV where it was overturned. So again, yes, you are rude, yes, you are involved, yes you are a bad admin, yes you are a consistenet policy violator, yes you are a hypocrite who asks an editor to steer clear but has no problem going after that same editor at your first opportunity, but nevermind. That kind of abusive stupidity and harassment seems to be quite common here.",1
Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,1
"Hey Riana

Does it suck to know that even strangers think you are a dried up old shrew? 66.77.102.10",1
"you accuse me of vandalism, i'll vandalize yo face, nigga",1
what the hell is your problem dumbass,1
That had more content and was going to be an article until you deleted it again dumbass.,1
"LGagnon 
i for one, think lgagnon is a big fat cock sucker.  lgagnon? Lgagnon my nuts.",1
